id,name,genres
1ZN75rz8CbuX3HP1eQOKBZ,Rock,
7zMVPOJPs5jgU8NorRxqJe,Michael Learns To Rock,"boy band, danish pop rock"
2U23qi3VmWzWOsk9O5ZmNf,Rock,
1Gbxli0knSZyHYCOKlv1Er,Nova Rockafeller,
00cXCrpJ71o729I8Qejev5,Rock,
1mjuRRMumbLmGmHmYvMDcb,Rock Danger,
1KjSgCXBmXEjeLCBLHxAiJ,Rock,
3BeQqzKdlARoOd6y30kCO2,Pete Rock,"east coast hip hop, instrumental hip hop, jazz rap"
0IzxJDHahhVGNoo8LkPuSz,rock,
0T5OJgMVjKIX3b3W3ekqOl,Rocko,"atl hip hop, dirty south rap, old school atlanta hip hop, trap"
5LlbAkA33C6DxVln0Wczps,ROCK,
3xs0LEzcPXtgNfMNcHzLIP,Rockwell,
1vER8KcvemqeMrafutNWZK,Rock,
3dFUAutVe4CdBO7DMDtIN5,Rocket FX,white noise
29M8ELXBysR0xDmBIIiXIp,Rock,
4kHxu1UJeYLB0ZkBQZdqT2,Kate Rockwell,show tunes
5y21wrtPS7f4gAlu142Gy0,Rock,
6vwFR7NilfrQ4AX0d41fWu,Rob Base & DJ EZ Rock,"freestyle, harlem hip hop, hip hop, hip house, miami bass, new jack swing"
07QQWeZiQmWyFgLKqpvDjK,Rock,
5HuKMWteBRI09tWyKeQE1F,Kiki Rockwell,
3cJb9rTswNq32n3Xa6SuqX,ROCK,
7eehGkMnqCS6Hp7HJIXH9e,Crystal Rock,"hypertechno, slap house"
3arYZfCkl8IECeDJL319fT,Rock,
542yUd4rGzUEOLd1diV94f,Rocky,
7emdE3ojn05aTHqPB2RJMz,Rock,
3fJ60AcIgLzQkVitEvA7uq,Pete Rock & C.L. Smooth,"east coast hip hop, jazz rap"
4ypYhXiCXypfNk4PKj2KXo,Rock,
5DcpgbwetMYJL7RFIUbRsV,Grupo Rocket,musica sudcaliforniana
65eI2F6txMlmELBBPaahNM,Rock,
4pzAvicKWenQtv9zIQim47,Rock Mafia,
3LJ8Na8x2ywQigyrHb9z87,Rock,
6wDDxmc6DCL53dpL6uMjqM,Wassup Rocker,aesthetic rap
4rYnRtMrDhPuU6zurvkEJo,ROCK,
1WAB4gjjNfQpAgT5SoAbRE,ROCKET,"russian drill, russian hip hop, russian trap"
7GeceMMuaTJTq6Rmgi3o2O,rock,
09mvgMBvJkxarNIDGdwPWg,Love and Rockets,"gothic rock, new romantic, new wave, post-punk, uk post-punk"
0Ntbu79iPIzDqDRnApkNFm,Rock,
6WUYWmJKUgwQWaPjHq5OcP,Rockell,freestyle
6zZaVVMPVx2vnfWjCXp1WL,Rock,
7DziQHfQYLS6Iv018KLOVo,Pase Rock,ambeat
2KjuCqGwsRtQ1GttWHI5Dz,Rock,
4V41s4NEnbEnbTFErZbbZ5,The Original Broadway Cast Of School Of Rock,broadway
7tt0hmHvCJsEnrIX185K8L,Rock,
3yAv8udgy9z6yF6rREcgfB,Rock City Worship,"pop worship, worship"
699sf2Ielz7Ep7tSOTzw4v,Rock,
0SJxTOELZJa2Cf19TjNEfm,Shag Rock,australian reggae fusion
2yoFAvy4ZbNwAdxo1cb1YG,Rock,
2ZDHVJnLtH2KJfBFzShihr,Tipling Rock,boston indie
5T1UNuMyuPOYypajqlz6XJ,ROCK,
2F3zBRfrDfm2FyNT0YKyAx,Sir Michael Rocks,"soul flow, underground hip hop"
4ZHwMsC8TFeu6K6ooakwbs,Rock,
1NU9Em6e8dDo36Js6nEo3t,A Rocket To The Moon,"neon pop punk, pixie, pop punk"
6qmyM5Ixrm8MG45BgaLCCn,Rock,
3zkqzEu0nHPDeP93vvY49U,J-Rocks,"indonesian alternative rock, indonesian pop, indonesian pop rock, indonesian rock"
1JwpeuZqSvmxc3dQUiNFlk,Rock,
5Obu9ifz8EKdm0uL5CvgUY,Rocky - Shiv,modern bollywood
2ukY0fDYMkO1NVeEufxm6H,Rock,
6ddr2k0OD45Ksc7L0zdUY3,Ravens Rock,
34lZHgFSgJnWq9MeY2C68M,Rock,
1doeW0oJMkO8kEq5g9kFNR,Punk Rock Factory,punk cover
43lctYHX8YQiYblrZUGTAh,Rock,
6WPC3Dc27kiyJ14fZbDXMl,Sam Rockwell,
2mgUqVQy6hrPv86o9wEXwa,Rock,
6TW5QY1SQ78SdvbemwC4FN,Rockstar,"classic opm, pinoy rock"
6tDxdI7puAKbIF1UM2wxIU,Rock,
29MrkEEHOU5icmFXxLe0OV,The Rockin' CJB,
5kw4WYXOUiluxYiueFdTIv,Rock,
58zHLr1IOAaAHCo0ZTd5v9,The Rock,"classic indonesian rock, indonesian pop rock"
027fMMtTo4XJ0GEdBcNLCT,Rock D The Legend,
1pJZdZ0ObCPyhChzQzA24i,T-Rock,memphis hip hop
4dVRITwfej74WkmNpgYVPb,Chubb Rock,"east coast hip hop, old school hip hop"
6ArtT03Hv9H55Y3EVa7d2V,The Rocketman,big room
5EgMMveFcSL3rq87Wkyw4s,Lafayette Afro Rock Band,"afrobeat, funk, jazz funk"
4XU1w0lxvHVRYKFQbMOTss,Piper Rockelle,social media pop
4CMUg0w1aGMdiWjfl3zI8t,Coloured Rocks,lo-fi jazzhop
3k7qB8d47YeYcHlrqaLM4U,Rocket Rockers,"bandung indie, indonesian indie, indonesian pop punk, indonesian rock"
6FZI89BrWDIRqUOW64CgNJ,Dj Rocka,guaracha
4qVKiA168f8kE2zKINggT0,Rockin Moroccin,
5VW8qxbvOtQ1PHJGRWAL5Z,Spark Rocket,
3d4KAl1xvEw3akBK6CVCCA,Sweet Honey In The Rock,"gospel, women's music"
0UeobiVDEhMVvaUa5fBnbT,Rock the Cradle,lullaby
428RRjG7mWVfImjnHJb0m7,Rockstar 2,classic opm
1zPnpAM7fGFr7pl8OSNvak,KISIDA KYODAN & THE AKEBOSI ROCKETS,"anime, j-pixie, otacore"
3QNjvAdrYZBqgkHI2P4gOF,Rockit,
3Uqc6c1DUPkyUQSeatexYU,The Rocket Summer,"fort worth indie, neon pop punk, piano rock"
3tqq1K1v1kk7BMW9OZJJDS,First Pentecostal Church of North Little Rock,apostolic worship
0xmGtVZjRriA2TVM9oaM61,Mozart Opera Rock,comedie musicale
3y0d6ljlxup7X9hZKSdKbr,Rockabye Lullaby,lullaby
3c2TDHEYpBkaSdfcsmt6FL,Puffin Rock,
6GwmVzHGRXHdpu06mhb6Lt,The Rockets,
2fYAyTS2erZgqEHKHYqgi2,Edi Rock,"brazilian hip hop, brazilian reggae"
3btIWfhXaf5db1gpLbXuB3,Sham Rock,
1LcLsIWOl1Z8vo1wl6bxg2,Spank Rock,bmore
6zeQl72GknqjTGCbrzvSbc,Rockout Danny,
5iwmHxCi5pm28BEykL5Fyd,Surf Rock Is Dead,"brooklyn indie, chill dream pop"
1kSsrlTgiil1smkT4Brc6P,Moon Rocket,funky house
